sheet,cell,value,data_type,number_format,is_formula
TABLA DE ACCESORIOS DESCARGA,S27,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X27,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y27,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB27,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC27,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF27,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG27,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ27,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B28,18,n,0,False
TABLA DE ACCESORIOS DESCARGA,F28,15,n,0,False
TABLA DE ACCESORIOS DESCARGA,H28,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K28,12,n,General,False
TABLA DE ACCESORIOS DESCARGA,N28,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O28,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R28,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S28,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X28,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y28,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB28,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC28,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF28,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG28,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ28,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B29,19,n,0,False
TABLA DE ACCESORIOS DESCARGA,F29,20,n,0,False
TABLA DE ACCESORIOS DESCARGA,H29,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K29,5,n,General,False
TABLA DE ACCESORIOS DESCARGA,N29,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O29,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R29,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S29,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X29,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y29,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB29,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC29,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF29,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG29,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ29,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B30,20,n,0,False
TABLA DE ACCESORIOS DESCARGA,F30,17,n,0,False
TABLA DE ACCESORIOS DESCARGA,H30,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K30,5,n,General,False
TABLA DE ACCESORIOS DESCARGA,N30,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O30,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R30,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S30,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X30,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y30,0,n,General,False
